comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2024,year,assess_year,cat,cat_txt,cat_score,eval_yr,cat_2024_score
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2017,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2018,2018,EN,Endangered,0.6,2018,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2019,NA,EN,Endangered,0.6,2018,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2020,NA,EN,Endangered,0.6,2018,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2021,NA,EN,Endangered,0.6,2018,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2022,NA,EN,Endangered,0.6,2018,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2023,NA,EN,Endangered,0.6,2018,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2024,NA,EN,Endangered,0.6,2018,0.6
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1982,NA,VU,Vulnerable,0.4,NA,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1983,NA,VU,Vulnerable,0.4,NA,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1984,NA,VU,Vulnerable,0.4,NA,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1985,NA,VU,Vulnerable,0.4,NA,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1986,2018,VU,Vulnerable,0.4,1986,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1987,NA,VU,Vulnerable,0.4,1986,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1988,2018,VU,Vulnerable,0.4,1988,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1989,NA,VU,Vulnerable,0.4,1988,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1990,2018,VU,Vulnerable,0.4,1990,0.4
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,VU,1991,NA,VU,Vulnerable,0.4,1990,0.4
