iucn_sid,pop_trend,iucn_version,iucn_rgn
161339,Decreasing,2025-1,mediterranean
39358,Decreasing,2025-1,mediterranean
39357,Decreasing,2025-1,mediterranean
161569,Decreasing,2025-1,mediterranean
16545046,Decreasing,2025-1,global
39381,Decreasing,2025-1,mediterranean
61417,Decreasing,2025-1,mediterranean
61418,Decreasing,2025-1,mediterranean
39339,Decreasing,2025-1,mediterranean
10075,Decreasing,2025-1,global
16720057,Decreasing,2025-1,global
10082,Decreasing,2025-1,global
10087,Decreasing,2025-1,global
173361,Decreasing,2025-1,mediterranean
19950,Decreasing,2025-1,global
155120,Decreasing,2025-1,global
190748,Decreasing,2025-1,global
63571,Decreasing,2025-1,global
154708,Decreasing,2025-1,europe
170319,Decreasing,2025-1,europe
21856,Decreasing,2025-1,europe
62225,Decreasing,2025-1,global
62224,Decreasing,2025-1,global
198653,Decreasing,2025-1,europe
19086782,Decreasing,2025-1,global
19516809,Decreasing,2025-1,global
10066,Decreasing,2025-1,global
198707,Decreasing,2025-1,europe
198709,Decreasing,2025-1,europe
18155949,Decreasing,2025-1,global
135689,Decreasing,2025-1,global
135579,Decreasing,2025-1,global
135714,Decreasing,2025-1,global
21112909,Decreasing,2025-1,global
135606,Decreasing,2025-1,global
14209,Decreasing,2025-1,global
161380,Decreasing,2025-1,global
170245,Decreasing,2025-1,europe
170244,Decreasing,2025-1,europe
64409,Decreasing,2025-1,global
21132344,Decreasing,2025-1,global
18177478,Decreasing,2025-1,global
21132418,Decreasing,2025-1,global
15307977,Decreasing,2025-1,global
198647,Decreasing,2025-1,global
6494,Decreasing,2025-1,global
22102,Decreasing,2025-1,global
4162,Decreasing,2025-1,global
18155990,Decreasing,2025-1,europe
193736,Decreasing,2025-1,europe
198578,Decreasing,2025-1,europe
132722,Decreasing,2025-1,europe
7859,Decreasing,2025-1,europe
187654,Decreasing,2025-1,europe
198568,Decreasing,2025-1,europe
18159121,Decreasing,2025-1,europe
15522149,Decreasing,2025-1,europe
